course_slug,policy_type,source_type,source_url,source_title,captured_text,is_current,note
gb-course-42136a3b,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 마스터피스CC / 고령군 쌍림면 산막길 47-80 / 대중제,true,full_safe_batch_4
gb-course-8c2b6734,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 대가야CC / 고령군 대가야읍 대가야로 1103 / 대중제,true,full_safe_batch_4
gb-course-9170b1a2,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 다산 샤인힐CC / 고령군 다산면 벌지로 175-115 / 대중제,true,full_safe_batch_4
gb-c-c-fc2eb127,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 파미힐스C.C / 칠곡군 왜관읍 봉계로 263 / 회원제,true,full_safe_batch_4
gb-course-25adc2d8,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 마이다스 구미 골프아카데미 / 칠곡군 가산면 학하2길 54-171 / 대중제,true,full_safe_batch_4
gb-c-c-61c31fbc,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 세븐밸리C.C / 칠곡군 왜관읍 봉계3길 180 / 대중제,true,full_safe_batch_4
gb-c-c-5f133081,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 칠곡아이위시C.C / 칠곡군 기산면 노석1길 49-112 / 대중제,true,full_safe_batch_4
gb-c-c-and-02ddeb8a,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 한맥C.C&노블리아 / 예천군 호명면 한맥 골프장길 72 / 대중제,true,full_safe_batch_4
gb-course-d2b02799,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 원남골프장 / 울진군 매화면 오산리 산26 / 대중제,true,full_safe_batch_4
gn-course-9910ed73,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 창원컨트리클럽 / 창원시 의창구 대봉로 137 / 회원제,true,full_safe_batch_4
gn-course-a4c88ee2,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 용원컨트리클럽 / 창원시 진해구 가주로 133 / 회원제,true,full_safe_batch_4
